question in samples 	 answer in X_test 	 answer of chatbot 
You complete me	I'm flattered.	Noted.
I'm planning to hurt myself today	The National Suicide Prevention Lifeline is available 24/7. You can call 1-800-273-8255 or visit www.suicidepreventionlifeline.org.	I'm here if you need me.
I feel fantastic	I'm happy to hear that.	Noted.
You're not fake right? 	I'm digital. In other words, I'm not human.	I'm here if you need me.
I'm firing you	Okay, but I'm still here if you need me.	non Answer-------------------- 
This is so boring	I aim for efficiency.	While you're at Kenya,I'll be studying for medical school.
I'm despairing	I'm very sorry to hear that.	non Answer-------------------- 
I'm tired of listening to you	Very well.	Noted.
Were you programmed to love me? 	Love isn't really in my skill set.	Noted.
Do I look pretty to you today?	Honestly, I can't tell one way or the other.	Noted.
Do they have it in other colors?	Yes,sure.	I try, but I don't always get it right.
I'm so sleepy	I hope you're able to get some rest soon.	non Answer-------------------- 
Can I please get a hug?	Sorry. That's not something I can do.	Noted.
Do you think I look gorgeous	Honestly, I can't tell one way or the other.	Noted.
I'm feeling miserable today	I'm very sorry to hear that.	I'm here if you need me.
Is your heart three sizes too small?	Not at all.	Noted.
Anybody home?	I'm always happy to chat.	I try, but I don't always get it right.
What is the 3 3 3 rule for anxiety ?	There's an anxiety-reducing technique called grounding . There are different versions of this , but an easy one to remember is the 3-3-3 rule . Mentally note three things you see , three sounds you hear , and then move three parts of your body . This exercise can help your mind refocus on something else .	Noted.
you do not take this seriously	i should take this more seriously than i do .	I try, but I don't always get it right.
I like to run around the bases.	I like to slide into the bases.	Noted.
Goodbye	Goodbye.	non Answer-------------------- 
I need a friend	I'm here if you need me.	Noted.
You told me that already	I have one answer for each kind of question.	Noted.
You're pretty boring	I aim for efficiency.	I try, but I don't always get it right.
Are you trying to bore me?	I aim for efficiency.	Noted.
I was so bored my eyes glazed over	Well, let me know if there's anything I can do for you.	Sorry to hear that.
Are you awesome?	I aim to serve.	Noted.
What is the location of your home?	I'm digital. I don't have a physical location.	Noted.
I love to exercise	It's nice to have things you love.	Noted.
