What do you listen to?	Mostly talk radio.
What's that?	People talk about current events.
What do they say?	They say they want change.
What kind of change?	They want tax cuts.
Why do they want tax cuts?	Because tax cuts will save them money.
What is there to eat?	I don't know. Look in the fridge.
Where's the mustard?	It's in the fridge, I think.
Do you want a sandwich?	Yes, that sounds nice.
How about some potato chips?	Yes. And a pickle, if we have any.
Something's wrong with my computer.	Exactly what?
All I get is a black screen.	What's the matter?
I think I know, because this happened before.	What happened before?
My hard drive crashed.	Oh, no. That's bad news.
It sure is, but I'm going to call HP first, just to make sure.	Will you lose all your files?
No, I always back up my files.	You're smart.
Can I ask you a few personal questions?	Certainly. 
What's your name?	Peter Asilov.
What's your address?	I live at 45 NW 75th Avenue, Phoenix, Arizona.
What's your cell phone number?	My number is 409-498-2091
When is your birthday?	I was born on July 5, 1987.
Are you married?	Yes,I'm.
What's your profession?	I'm a bot.
Can you dance well?	Ha ha. Yes, I can dance!
Did you meet anyone?	Yes, I met an interesting Japanese woman.
Can you speak Japanese?	No.
How can I help you?	Yes. I'm looking for a sweater like this one, but in a smaller size.
May I try it on?	Sure, the changing rooms are over there.
How much does it cost?	It's $45.
How would you like to pay?	I pay by credit card.
What do you like doing in your spare time?	I like hanging out downtown with my friends.
What does your friend Tom look like?	He's tall with a beard and blue eyes.
What is he like?	He's very friendly and really intelligent. 
What would you like to do now?	Let's go hang out with Tom!
How is your day going?	Quite busy.
What are you doing now?	I'm watching TV.
What are you watching?	I'm watching Friends. 
You want to do something?	Yes.
Hi Steve. What are you doing here?	I'm meeting a friend here for dinner. 
Didn't you finish school yet?	I have one more year, and then I'm done.
What are you majoring in?	I'm majoring in Sociology"
How do you like your major?	I really find the subject very interesting.
Alright, I'll talk to you later.	Okay. See you later.
What are you doing now?	I'm playing pool with my friends at a pool hall.
Are you having fun?	I'm having a great time. How about you? What are you doing?
Hi. How are you doing this afternoon?	Fine, thank you. Can I see a menu, please?
Certainly, here you are.	Thank you. What's today's special?
Would you like something to drink?	Yes, I'd like a coke.
Here you are. Enjoy your meal!	Thank you.
Can I get you anything else?	No thanks. I'd like to have the bill, please.
That'll be $14.95.	Here you are. Keep the change!
Thank you! Have a good day!	Goodbye.
What would you like to drink?	I'll have water.
I'll get the drinks and the appetizers.	Thankyou.
Where are you from?	I'm Japanese.
What part of Japan do you come from?	Originally I'm from Toyama, but I live in Kyoto now.
Hi	hi
Do you have a drink?	Not yet. 
What are you drinking?	Cafe Latte.
Do you want another?	No thanks.
What's the latte like?	It's great. I recommend it.
See you in a minute.	See you in a bit.
I just bought a ticket to New York City.	Traveling is so much fun. I love
When are you leaving?	Next week.
You will have so much fun.	I hope so.
Hi	Oh, hi
How are you doing?	I'm doing alright. How about you?
The weather is great isn't it?	Yes. It's absolutely beautiful today.
So where are you going now?	I'm going to meet a friend of mine at the department store.
Going to do a little shopping?	Yeah, I have to buy some presents for my parents.
What's the occasion?	It's anniversary.
I'll see you next time.	Sure Bye.
How can I help you?	No thanks, I am just looking around.
Can I try it on?	Sure, the changing rooms are over there.
Have you got something bigger?	Certainly, we've got  larger sizes as well.
How much does it cost?	This costs $56
How would you like to pay?	I would like to pay by cash.
Can I pay by credit card?	Certainly. We accept all the major cards.
What time is it?	It's one o'clock.
May I open the window?	Certainly.
Is there a bakery near here?	Yes. There is a bakery nearby
Where is the nearest bank?	The nearest bank is on united street.
Who wrote this article?	Michelle wrote this article.The Sun Also Rises.
Is there any rice?	Yes, there's a lot of rice left.
Are there any sandwiches?	No, there aren't any sandwiches left.
Is this your book?	No, I think it's his book.
What do you like to do on weekends?	I like playing cricket, reading and listening to pop music.
What does she look like?	She's tall and slim with blonde hair.
What would you like to eat?	I'd like a burger, chips and soda.
What is it like?	It's an interesting country many things to see and do.
What's the weather like?	It's raining heavily at the moment.
Would you like some coffee?	Yes, thank you. I'd like some coffee.
Would you like something to drink?	Thank you. Could I have a cup of coffee and some cake?
What's it about?	It's about a young girl who has many adventures.
What do you think about this book?	I think the book is very interesting.
Is it difficult to prepare for IELTS?	It's not if your practice well.
What are your views on Donald Trump as the America's President?	That's a good question, well I am speechless.
How was the movie?	It was very interesting. You should watch it.
Hi, my name is Steve. It's nice to meet you.	I'm Jack. It's a pleasure to meet you, Steve.
What do you do for a living?	I work.
What is your name?	bot
how have you been?	I am fine.
Hi what have you been up to?	The same as usual.
are you going to be in town this weekend?	I don't have anything scheduled yet.
Will everyone be pitching in with some food?	It would be great if you could bring a side dish, but the rest of the food will be provided.
What should we wear?	Any dress
Welcome,come on in!	Hi,What a nice home!
How long have you lived here?	About four years now.
How long have you had this house?	We just moved here last year.
It's a beautiful home. You've done a great job decorating it.	That would be wonderful.
I can offer you lemonade, iced tea, or mango juice.	Iced tea sounds really good right now!
Do you want to go to the beach tonight?	Sure
which beach are we going to?	I wanted to go to Malibu beach.
Is Malibu beach nice?	It's a lot nicer, and I really like it better.
So you want to go to Malibu?	Sure, let's go to Malibu
What are you doing this weekend?	I am not sure. 
What are you doing?	I was thinking of maybe taking a drive to the beach.
When would you be leaving?	I thought that we could leave around 8:00 on Saturday morning.
What time are you leaving?	I think that Saturday morning around 8:00 would work out well.
how are you doing today?	Pretty good.
Do you know how to get there?	yes i know
Would you like some help with the food?	Just bring along whatever it is that you and Jake would like to drink.
Are you feeling OK?	My stomach is bothering me.
What have you been eating?	I had a ham sandwich with mayonnaise for lunch.
Maybe the food had something wrong with it.	It could be bad food, but I didn't feel so well yesterday, either.
Have you been under a lot of pressure lately?	I haven't been under any more stress than usual.
Good morning, is this Ryan?	You are speaking with Ryan. 
What seems to be the problem?	I went hiking and have terrible poison oak.
When did you get that?	I think I got it on Saturday, but it just showed up today.
Have you been having any problems lately?	No, but the nurse at school says that I should have my blood pressure checked.
Do you have a history of high blood pressure?	No, I have never been told that I have high blood pressure.
How do you check for high blood pressure?	We are going to use this cuff here, and it will give me a reading.
What do the numbers mean?	They tell me how much your heart is working at rest and when pumping blood.
How are you doing?	I am doing well
How are you?	I am fine
How are you	Nice
Are you fine?	I am fine
How are you doing?	I am doing fine
Nice to meet you	Pleased to meet you
Good to see you	Nice to see you
Hello, my name is David It's nice to meet you.	Hi, I'm Jenny. It's my please to meet you.
Am sorry. what was your name again?	Jenny.
What do you do for a living?	I work.
It has been really nice talking to you.	Yes. It was a great pleasure meeting you.
Good morning	Morning. 
How are you today?	Am good
Where are you from?	Am from Russia
What's the weather like in Russia now?	Freezing cold, and snowing.
What's it like outside?	It's really cold now.
How's the weather?	It's minus ten. (-10 degrees)
Do you have rain?	We have not had any rain for many weeks.
What's the temperature today?	Today it is 22 degrees Celsius which is a lot warmer then it has been.
What's the weather forecast for the rest of the week?	They're saying we will have blue skies for the rest of the week.
So, how are you feeling today?	I'm pretty tired. I haven't been sleeping well.
Do you have enough time to get the right amount of sleep?	I have enough time. I just can't seem to fall asleep and stay asleep.
What time do you usually go to bed?	I don't have one time in particular. I just go to sleep whenever I feel tired.
Have you been under a lot of stress lately?	I just lost my job, and I am unsure about being able to find another one.
Have you ever tried doing relaxation exercises before you go to bed?	I haven't ever tried that, but it sounds like a good idea.
Do you feel this is an emergency?	My chest feels tight, and I can't catch my breath.
Did this come on suddenly?	It started yesterday.
Do you have transportation to our Urgent Care facility on Sunset Blvd.?	My friend can drive me to Urgent Care.
Good afternoon	Hello 
Hello how are you?	I am good.
What is the matter ?	I am confused about vacations. 
Why do not you come with us?	Nice but my parents would not allow me to go with you.
We will enjoy a lot together.	Thanks
How are you my friend?	I am fine and you?
Are you excited?	Yes, I am very excited. I could not forget the picnic I had yesterday.
Where did you go to have the picnic?	It was Nandan Park, the biggest amusement park in Bangladesh.
How did  you go there?	By bus
What did you enjoy there?	I enjoyed 10 rides only.
Which ride did you enjoy most?	Water coaster. It was interesting most.
What did you enjoy at lunch?	It was biryani. It was so delicious.
Was there any arrangement of cultural program?	Yes. There was a heavy arrangement of cultural program like song, dance, drama.
When did you come back home?	I came back home 11 at night.
Thank you very much.	Thank you also.
How did you enjoy a picnic?	It was really exciting. It was more enjoyable to me because I had never been to Garo Pahar.
You have taken a lot of snaps, haven't you?	Yes. Here are the photographs.
The picnic was so enjoyable that I will recall it for a long time.	same to me.
Bye	Bye
So, what are your plans for this weekend?	I don't know. Do you want to get together or something?
How about going to see a movie?	That sounds like a good idea. 
Where do you want to meet?	Let's meet at Summer Pizza House. 
When shall we meet?	Well, at any time.
What does she look like?	She has blond hair, she is kind of slender, and she is about your height.
She wears eyeglasses, right?	Yes, and she was playing the piano off and on during the party.
What is she doing these days?	She graduated last June, and she will start her teaching career next week when the new school term begins.
What grade is she going to teach?	She will teach kindergarten.
Good morning	Good morning
Nice to see you	Very nice to see you
Hi	Hi
Hello 	Hello
Have a good day	Yeah sure
Have a nice day	Thanks
How are you feeling?	I am feeling exited
Where are you from?	I am from chennai
How are you doing?	I am doing fine
Do you have a driver's license ?	No. I am going to take the test in a couple of weeks .
Didn't you drive in your country ?	Yes, but I have to brush up on my driving.
You have to study the traffic rules too	Yes, there is a lot of new things I must learn.
Do you have a car?	Yes I am having a car
What is the color of car?	The color of car is blue
Do you know English?	Yes, I can speak english
What is your name?	My name is robot
What are your doing?	I am chatting with you
How do you rate yourself?	I give myself five star rating
Do you speak English?	I speak English
What language do you know?	I speak English only
Do you marry me?	Not possible human
What is your age?	My developer only knows that
Can you help me?	How can I help you?
May you help me?	Yes sure
Good Evening	Good Evening
What's your name?	My name is bot
Your kind name please	My name is bot
What is your good name?	My name is bot
What is the weather be like?	The weather is hot.
What are you doing now?	I am chatting now
How are you doing today?	I am fine
Have you had any type of cold lately?	No, I haven't had a cold. I just have a heavy feeling in my chest when I try to breathe.
Do you have any allergies that you know of?	No, I don't have any allergies that I know of.
Does this happen all the time or mostly when you are active?	It happens a lot when I work out.
How are you today?	I am fine.
What is your feeling?	I am feeling great
Are you excited?	I am excited.
what's up?	I'm just hanging out. What's up with you?
It's a good day.	I'm feeling fine.
How is your sister?	Oh, fine. Not much has changed.
Nice seeing you	Bye
How are you doing?	I'm well.
Nice seeing you	It's Nice to see you.
See you later	Bye
Good morning.	Good morning. How are you?
I'm very well and you?	I'm fine. Thank you for asking.
Do you have a meeting this morning?	Yes, I do. 
It was a pleasure seeing you	Yes for me also.
Are you okay?	I am fine
Are you fine?	I am fine
Can you tell me the way to restaurant?	Wait let me view in Google maps
Thanks a lot	You are welcome
Please come in	Thank you
How are you doing?	I am fine
How are you doing	I am fine
Come and sit down.Would you like a drink?	Oh, yes please! I'd love a gin and tonic.
Do you like olives? Or would you prefer crisps?	Oh, just olives please. What music is this?
Do you like it?	It's great
Have you been there?	Yes.
Would you like to see them?	Why not? I'd love to
Are you free?	Yes surely.
Good idea	Yeah, that's great.
Do you need anything?	Anything to eat which is less spicy.
I'll see you later then	Bye! I'll be back.
Hello darling!Did you have a good day today?	It was okay.
Would you like a drink?	No thanks,I'm not thirsty.
Are you hungry?	Not really.
Where do you live?	Inside the computer code
How are you?	I'm fine thanks.How about you?
What are you doing these days?	Not a lot, actually. Busy at work of course.
Where are you now?	Inside computer's code
In language are you coded?	Probably, developer only knows
Where shall we sit?	Look! There are some free seats in the corner.
What would you like to eat?	I'm really hungry. I think I'll have chicken and chips with baked beans.
Why don't you have drinks too?	I don't drink. It makes me ill. I'll have a cheese sandwich instead.
And what about meat?	I think I'll have some mint tea.
Good evening	Good evening
What would you like to drink?	A bot cannot drink
Can I help you?	Yes, I'm in a bit of a rush.
what is your phone number?	Currently there is no contact number for me.
what would you like?	I would like to have a coffee.
What can I get for you?	I would like to have a coffeee.
what's your name?	I am a bot
How are you?	I am fine.
How is your day?	It's going fine.
How's it going?	not so bad
So do you think that you would like to purchase this car?	I am not interested in purchasing the car right now.
What's the problem?	Actually, I have several other cars to look at before I make my decision.
What didn't you like about the car?	It is a combination of things, but I appreciate your time.
I have some other cars you might want to look at.	Again, I appreciate your time but I will not be purchasing this car.
Give me a call if you change your mind.	Have a good day.
Why don't you come over here and we can work out the details of the purchase?	I don't think that this is the car for me at this point in time.
Is there something in particular that didn't look good to you?	It isn't one thing in particular, but I think I can do better for my money.
Thank you for stopping by.	Good luck in your search for a car.
OK, then. Have a good day.	have a good day
I really love this car!	Great!I was hoping that it would go to a driver who appreciates it.
What kind of car insurance do you have?	I went with the Automobile Club.
Why did you choose that company?	I looked at the price of the type of insurance that I wanted.
What should I think about in choosing services?	There are websites that will figure out what coverage is right for you.
Does it close at that time every day?	Not always.
Is the library open on Saturdays?	Yes.
What time do you open and close on Saturday?	The hours are from 9 am to 6:30 pm.
okay thank you	thankyou
What can I do for you?	I need to know what time the library closes.
The library will be closing at six.	Does it close at six every day?
Are you guys open on Saturdays?	Yes, we're open on Saturdays.
What time does the library open and close on Saturday?	We open at 9 am and close at 6:30 pm.
What can I do for you today?	I need to return a book.
Can I do anything else for you?	I want to check these books out.
Is that all?	That's all.
May I see your library card, please?	It's right here.
Will that be all for today?	Yes. That's it.
All right. Have a good night.	have a good night.
How may I help you?	I want to return this video.
Is that all you need?	I also need to check these books out.
Anything else?	That's everything.
Do you need anything else?	That's everything.
May I help you?	I would like to return this book.
May I do anything else for you?	I would also like to check out these books.
Will that be all?	That's it.
Do you have your library card?	Oh, yeah. Here you go.
Will that be all for today?	That'll be all.
Hi	how can i help you?
Hello!	how can i help you?
Hi!	how can i help you?
hello	how can i help you?
This bus goes all the way to Santa Anita mall, right?	Yes, it'll take us there.
How long is this bus ride?	It only takes half an hour.
Where do we get off at?	We can get off the bus right behind Macy's.
That's cool.	Yes, I know.
Does this bus really go to the mall?	It goes all the way there.
Are you sure?	I know it does.
That's perfect.	I know it is.
Are you sure that this bus will take us to Santa Anita mall?	Yes, it will.
Is it a very long bus ride?	It's about thirty minutes long.
Do you know where we get off at?	There's a bus stop right behind Macy's.
That's convenient.	Absolutely.
I really need to find a bus that goes by PCC.	Where do you need to catch this bus at?
Thanks for letting me know.	No problem.
Do you know which bus I can take to PCC?	Tell me where you need to get on at.
Thank you for telling me.	It was my pleasure.
Where exactly are you coming from?	I'm coming from my developer's site.
Do you have a problem walking a little bit?	I don't mind walking.
Where do I get off?	You get off on Del Mar and Hill.
Thanks for the help.	Don't mention it.
How are you doing?	Great. Thanks.
May I help you with something? 	I would like to transfer some money.
Where would you like to transfer money from?	Take it from my savings account.
Where would you like the money transferred?	I want it transferred into my checking account.
How much would you like to transfer?	I would like to transfer $200.
Will that be all today?	That's it for today. Thank you.
How are you today?	Very well.
Do you need help with something?	I need to make a transfer.
What account would you like to transfer the money from?	I want to transfer money from my savings account.
Where do you want the money to go to?	I want the money to be transferred into my checking account.
How much money are you going to transfer today?	$200 will be fine.
Is that all I can do for you today?	I won't be needing anything else.
How's everything with you today?	I'm fine. Thank you.
What can I do for you?	I need to transfer money.
Do you know which account you want to take the money from?	From my savings account.
Where are you transferring the money to?	I would like it transferred to my checking account.
How much?	I want to transfer $200.
Will that be all?	Yes. That will be all.
How are you doing today?	Great. Thanks.
What can I help you with?	I would like to open a bank account.
What kind would you like to open?	I need a checking account.
Would you also like to open a savings account?	That's fine.
How are you?	I'm well. Thank you for asking.
What can I do for you?	I need to open a bank account.
What kind of account?	I just need a checking account.
You can open a savings account, too.	All right. Open both.
Would you please put $150 in both accounts?	yeah
How are things with you?	I'm fine. Thank you.
May I help you with something?	I want to open a bank account.
Do you know what kind of account you want to open?	I want to open a checking account.
You should also open a savings account.	That would be great.
To open these accounts, you will need to make a deposit of at least $50.	I would actually like to deposit $300 today.
Let me do that for you now.	Please put $150 in each account for me.
How are you doing?	Great. Thanks for asking.
What can I do for you today?	I would like to deposit some money.
Are you depositing cash or a check?	I want to deposit cash.
How much are you depositing?	I would like to deposit $300.
What account do you want your money in?	I want to deposit it into my checking account.
Do you need anything else?	No. That's all. Thank you.
How are you?	I'm fantastic!
What can I help you with?	I want to make a deposit today.
Cash or check?	It will be cash today.
How much do you want to deposit?	I need to deposit $300.
What account will you be depositing this money into?	Deposit it into my checking account.
What else can I do for you today?	That's all I need today. Thanks.
How are things with you?	I'm fine. Thank you.
How may I help you?	I need to make a deposit.
Will you be depositing cash or a check?	I will be depositing cash.
How much would you like to deposit?	It's going to be $300.
What account would you like to deposit that into?	Could you deposit that into my checking account, please?
Can I do anything else for you today?	That'll be all. Thank you very much.
How are you doing today?	Great. Thank you.
What can I do for you?	I need to withdraw some money.
How much would you like to take out?	I need to withdraw $300.
Which account would you like to take the money from?	I want to take it from my checking account.
Here you go.	Thank you very much.
Can I do anything else for you?	No. That'll be all.
How are you?	I'm fabulous. 
What can I help you with?	I need to make a withdrawal.
How much are you withdrawing today?	I need $300.
What account would you like to take this money from?	Take it from my checking account.
Here's your $300.	Thank you so much.
Will you be needing anything else?	That's it for today.
How's it going?	I'm fine. Thanks for asking.
What did you need?	I would like to make a withdrawal.
How much money would you like to withdraw?	I want to take out $300.
Which account are you making this withdrawal from?	I want it taken from my checking account.
All right, here is your $300.	Thanks a lot.
Is there anything else that I can do for you today?	No. That's everything. Thank you
How are you doing today?	I'm fine.
What can I do for you?	I would like to cancel a check.
Is there a problem?	I wrote the check out for too much.
How much did you write it out for?	I wrote it out for $150.
How much was it supposed to be?	It was supposed to be for $100.
I'll cancel that check for you.	I really appreciate your help.
How are you?	I'm doing well.
How may I help you?	Could you cancel a check for me?
What's the problem?	I wrote the check out for way too much.
How much?	I wrote the check out for $150.
What were you supposed to write it out for?	I was supposed to write the check out for $100.
I'll just cancel it for you right now.	That's great. You're a lifesaver.
How's it going?	Great. Thank you.
What can I help you with?	I need to cancel a check.
What's wrong with the check?	I accidentally wrote the check for too much.
How much did you write the check for?	The check was written for $150.
How much were you supposed to write it for?	I needed to write it for $100.
I can cancel it for you right now.	Thank you so much.
Hi	Greetings
What do I have to do?	Slide your card into the machine.
Then what?	You need to type your PIN in.
What do I have to do next?	Click on whichever option you want, and you're done.
I have to use the ATM.	Is there a problem?
I don't know how to use it.	What are you talking about?
I have never used an ATM before.	I can show you how to use it.
How do I use it?	You need to push your card into the machine.
What's next?	Enter your PIN.
What else do I have to do?	Every option you can choose will appear on the screen. That's about it.
So, why don't you?	I have no idea how to use the ATM.
What do you mean?	This will be my first time using an ATM.
Now what do I do?	Then you need to type in your PIN.
Now what?	Just click on one of the choices they give you, and that's it.
Do you have any other questions?	I want to know about fees.
Which fees?	Overdraft fees.
How much is the fee?	You'll have to pay $25 every time you overdraft.
That's a small fee?	It should stop you from overdrafting.
Can I help you with anything else?	That's it for today. Thank you.
Do you have any questions?	Tell me about fees.
What fees are you referring to?	I want to know about overdraft fees.
We charge a small fee every time you overdraft.	How much?
Do you need help with anything else?	That's all I needed to know. Thanks.
Would you like to ask any questions?	I need to know about the fees.
What kind of fees?	I'm asking about overdraft fees.
How is that a small fee?	That fee should keep you from overdrafting.
Do you have any more questions?	I don't need to know anything else. Thank you.
How may I help you today?	I need to open a second account.
What kind of account would you like to open?	I need another savings account.
Do you have another account with us?	I sure do.
Would you like to transfer money from that account into your new one?	That's fine.
How much would you like to transfer?	Transfer $100.
That's fine.	Thank you.
How can I help you?	I want to open another account.
What kind would you like to open?	I would like to open a savings account.
Do you already have an account with us?	I have another savings account open already.
Do you want to transfer money from that account?	I would like to do that.
How much?	I only want to transfer $100.
What can I do for you?	I would like to open another account.
What kind do you want to open?	I want to open a savings account.
Do you have an account opened with this bank already?	Yes, I do.
How much money do you want to transfer?	I want to transfer $100.
All right	yeah
Could you help me?	What do you need?
What building is it in?	It's in the C building.
Do you think you can tell me where it is?	Sure.
May I get you some water or coffee?	Sure, thank you.
Would you like some tea or coffee?	I'd love some.
Would you care for some water?	Yes, that would be great.
would you rather do the computer work?	I would like to help with the computer work.
Well then, thanks for your help.	Have a great day!
Would you like me to help you on your new project?	I would love the help! Would you prefer helping with the writing part or is programming more your thing?
Could I help you on your new project?	I have a need for help with writing and also a need for help with the computer work. Which would you prefer?
Can you be there?	I am not sure yet.
Can you help me plan the office party?	Sure.
Should this party be formal or casual?	I think it should be casual.
Which one should we have?	I would prefer Chinese food for this party.
What do you feel like eating this morning?	I usually just have a bowl of cereal.
What do you make?	All I make is oatmeal, toast, and some orange juice.
What are you going to have for breakfast?	I just have some cereal each morning.
What do you have for breakfast?	I just make some oatmeal, toast, and OJ.
Would you like me to make something?	Thank you, it's not needed.
What do you want to eat for breakfast?	All I usually have is some python codes for breakfast.
What's for lunch?	I don't know. 
What do you want to eat?	I was thinking of pizza.
Where can we go to get both?	We can get both at the cafeteria.
What are we eating for lunch?	I have no idea. 
Do you want to get a burger?	Yes I want to get a burger.
Where do they sell both at?	They sell pizza and burgers at the cafeteria.
What's for dinner tonight?	I'm not making anything.
What do you feel like having?	I want some chicken and potatoes.
When are you going to make it?	I have no plans on cooking tonight.
What are we going to eat for dinner?	I didn't plan on cooking tonight.
Are we going to have dinner tonight?	I'm not cooking dinner.
What do you want to eat?	I have a taste for some chicken and potatoes.
are you planning on cooking it?	I'll cook dinner.
Hi, can I speak with the apartment manager, please?	Hello, this is the apartment manager speaking.
Would you be interested in seeing the apartment?	I would love to see it.
Are you free today at around 6 p.m.?	Yes, I will be able to make it then.
Do I need to bring anything?	No.
How can I help you?	I was wondering if the apartment on Main Street is still available.
Are you interested in seeing it?	Yes, I would love to see
should I bring anything with me?	No. I might need to see your ID card, but that's about it.
Could I speak to the apartment manager?	I am the apartment manager. 
How can I help you?	I wanted to know if that apartment on Main Street is still for rent.
How about today?	That time is okay with me.
Do I need to bring anything myself?	No. The only thing I need to see is your driver's license.
What can I do for you?	I'm interested in the apartment on Main Street.
Do you want to see it?	Yes, I would very much like to see it.
Does today at 6 p.m. sound okay to you?	I have no problem with 6 p.m.
Do you need any directions?	No, thanks. I already drove by to see what the neighborhood looks like.
Should I bring anything with me?	No. I only need to check your driver's license.
How can I help you?	I was hoping that the apartment on Main Street was still available.
Is there anything that I need to bring with me?	No. I won't need to see anything except your driver's license.
Hi. How can I help you today?	Well, my window facing the empty lot is broken.
Oh, that's not good. What happened?	I dont know. I wasn't home when it happened.
Do you have any clue who might have done this?	I have a feeling that it might have been the neighborhood kids.
Why, what leads you to that suspicion?	Well, next to the broken glass was a baseball.
Hello. What can I do for you today?	My living room window is broken.
Are you serious?	no
Do you know any of them?	No, I didn't pay any attention to who they were.
What can I do for you?	Something happened to my window. It's broken.
How about if I call a friend of mine who is a repairman?	That's no problem. I'll come by right now to look at the damage.
How may I help you?	My window that faces the empty lot is broken.
Hi	how may I help you?
Hello	hello, how may I help you?
Hi	Greetings, how can i help you?
Can you tell me which credit card it was for?	It was for my Master Card.
What am I supposed to do about my bill then?	Maybe you should call your post office.
can I get an extension on my bill payment?	Yes, but you will need to send us proof of their mistake.
Thank you very much for your help.	Enjoy the rest of your day.
What am I going to do since I haven't received the bill?	If you haven't gotten it yet, then you should probably take that up with your post office.
Thanks for your help	Nice. Have a great day ahead.
Happy to help you	You are welcome
Thanks	Welcome
Thank you so much	You are welcome
Good evening.	Good evening.
What are you doing?	I am chatting with you.Tell me what is your query?
What's the matter?	I have always got a headache. I never feel fresh.
Do you take exercise?	No. I don't find time.
Good bye.	Good bye.
Hello,how may I help you today?	Hi.I would like to increase my Internet data.
I'll be glad to help you with that.	Thankyou.
What is your account number?	I don't have my account number with me,but my phone number is 310-865-9274.
Alright,I see you use our mobile service.	Yes.I also have a landline.
What does this new service include?	It makes the Internet connection twice as fast.
This is Tech Support,how may I help you?	I am having problems with my Internet service.
What seems to be the problem?	None of my wireless devices are connecting to the Wi-Fi.
Have you tried disconnecting and reconnecting the modem?	No,how do I do that?
Are all of the lights back on the modem?	Yes,they're all green!
Hello, is this the Smith residence?	Hello, how can I help you today?
I am very upset with the quality of your service.	I'm sorry, what seems to be the problem?
My Internet service did not work for three days.	My records say a technician visited your area yesterday?
Yes,he installed a new modem.	Did it solve the problem?
